Ux_top [mm],Uy_top left   [mm],Uy_top right [mm],Uy_top_mid [mm],Rot      [rad],Fx_top [kN],Fy_top [kN],M_top [kNm],Unnamed: 8,h [mm],l [mm],Estimated Time (s)
-0.0028879,-0.061855236435046076,-0.030594314463307234,-0.04622477544917666,1.2504368788695536e-05,3.3381,47.808,-7.368,,,,616.2162162162163
-0.0049848,-0.0627972162518854,-0.031012812608412408,-0.046905014430148904,1.27137614573892e-05,3.3131,48.274,-7.243200000000002,,,,624.3243243243244
-0.0042184,-0.06374169093771848,-0.031276807908833915,-0.047509249423276195,1.2985953211553824e-05,3.3041,48.748,-7.104000000000002,,,,632.4324324324325
-0.0036935,-0.0648416618184272,-0.03164380245984125,-0.04824273213913422,1.327914374343438e-05,3.2821,49.214,-6.950400000000002,,,,640.5405405405406
-0.0034525,-0.0658906340459968,-0.03211729607719,-0.049003965061593394,1.3509335187522717e-05,3.2791,49.739000000000004,-6.828000000000006,,,,648.6486486486488
-0.0036935,-0.067197599600708,-0.03263878966752425,-0.04991819463411612,1.3823523973273496e-05,3.2771,50.248,-6.835199999999998,,,,656.7567567567568
-0.0047405,-0.06824507299116485,-0.03300478662846305,-0.05062492980981395,1.409611454508072e-05,3.2911,50.758,-6.892799999999999,,,,664.8648648648649
-0.0057903,-0.06955353913982076,-0.033580781168802615,-0.05156716015431169,1.438910318840726e-05,3.2801,51.253,-6.876000000000005,,,,672.972972972973
-0.0063151,-0.07065350956442355,-0.033998776789697406,-0.05232614317706048,1.4661893109890458e-05,3.2801,51.769999999999996,-6.8208000000000055,,,,681.0810810810812
-0.0060741,-0.07175497759423097,-0.03447326969449772,-0.05311412364436434,1.49126831598933e-05,3.2702,52.224000000000004,-6.816,,,,689.1891891891893
-0.0060741,-0.0731684366237921,-0.03489176388860536,-0.05403010025619873,1.53106690940747e-05,3.2771,52.718,-6.854399999999996,,,,697.2972972972974
-0.0060282,-0.07452439645780899,-0.0352522587200878,-0.05488832758894839,1.570885509508848e-05,3.2751,53.218999999999994,-6.852000000000001,,,,705.4054054054054
-0.0065102,-0.0760898505084846,-0.03577025257080675,-0.05593005153964568,1.612783917507114e-05,3.2841,53.754,-6.820799999999997,,,,713.5135135135135
-0.0067511,-0.0778672964148118,-0.036133747982279044,-0.05700052219854542,1.6693419373013104e-05,3.2781,54.225,-6.827999999999997,,,,721.6216216216217
-0.0083223,-0.07975174174393367,-0.03644874814621525,-0.05810024494507446,1.7321197439087366e-05,3.3031,54.771,-6.895199999999994,,,,729.7297297297298
-0.0096557,-0.08179668046394771,-0.0368707467523803,-0.059333713608164,1.7970373484626963e-05,3.2881,55.257000000000005,-6.924000000000004,,,,737.8378378378379
