Ux_top [mm],Uy_top left   [mm],Uy_top right [mm],Uy_top_mid [mm],Rot      [rad],Fx_top [kN],Fy_top [kN],M_top [kNm],Unnamed: 8,h [mm],l [mm],Estimated Time (s)
-0.036152,-0.1264120652429758,-0.055726640293715,-0.0910693527683454,2.8274169979704324e-05,3.422,80.33500000000001,-7.682400000000001,,,,1143.2432432432433
-0.03744,-0.127142047180515,-0.05614214995465875,-0.09164209856758687,2.8399958890342502e-05,3.4389,80.83,-7.699199999999996,,,,1151.3513513513515
-0.039293,-0.1282970166099698,-0.056511670066741,-0.0924043433383554,2.8714138617291524e-05,3.416,81.28399999999999,-7.631999999999999,,,,1159.4594594594596
-0.04034,-0.12934197943731499,-0.05677318081705955,-0.09305758012718726,2.9027519448102172e-05,3.426,81.813,-7.572000000000003,,,,1167.5675675675677
-0.04143,-0.13044693984848002,-0.0571456901559168,-0.09379631500219841,2.9320499877025285e-05,3.408,82.297,-7.5,,,,1175.6756756756758
-0.040666,-0.13139187781550618,-0.05756716794129995,-0.09447952287840307,2.952988394968249e-05,3.416,82.843,-7.384799999999995,,,,1183.783783783784
-0.040471,-0.13239682162836822,-0.05794215611370695,-0.09516948887103759,2.9781866205864504e-05,3.389,83.28999999999999,-7.286399999999986,,,,1191.891891891892
-0.040993,-0.1331817884363648,-0.05846615241888536,-0.09582397042762508,2.9886254406991775e-05,3.399,83.787,-7.226400000000006,,,,1200.0
-0.042039,-0.13443673863278421,-0.058832161202892946,-0.09663444991783858,3.0241830971956508e-05,3.391,84.221,-7.274399999999996,,,,1208.1081081081081
-0.043327,-0.13548170420874078,-0.059091677072893,-0.0972866906408169,3.055601085433911e-05,3.402,84.723,-7.3224000000000045,,,,1216.2162162162163
-0.044374,-0.1365816627179302,-0.059353689230912006,-0.0979676759744211,3.0891189394807284e-05,3.415,85.22200000000001,-7.459199999999992,,,,1224.3243243243244
-0.044133,-0.1378415892955328,-0.0595136811610986,-0.0986776352283157,3.133116325377369e-05,3.424,85.729,-7.5288,,,,1232.4324324324325
-0.044133,-0.1394614994470928,-0.05977517492225774,-0.09961833718467528,3.187452980993402e-05,3.428,86.247,-7.591199999999992,,,,1240.5405405405406
-0.044654,-0.1411914115903382,-0.06019417412037715,-0.10069279285535768,3.239889498798443e-05,3.429,86.738,-7.593600000000003,,,,1248.6486486486488
-0.043608,-0.14297129196140781,-0.060455649345945606,-0.10171347065367671,3.300625704618488e-05,3.4349,87.247,-7.591199999999992,,,,1256.7567567567569
-0.043892,-0.1444962092515328,-0.060876644099707,-0.1026864266756199,3.3447826060730324e-05,3.43,87.737,-7.519200000000006,,,,1264.864864864865
-0.044658,-0.1457461502548928,-0.06118815006088635,-0.10346715015788957,3.3823200077602575e-05,3.428,88.247,-7.437600000000009,,,,1272.9729729729731
-0.044942,-0.1469010877408678,-0.0614006499401126,-0.1041508688404902,3.420017512030208e-05,3.415,88.715,-7.370399999999995,,,,1281.0810810810813
-0.045704,-0.1480510337145182,-0.06176415480043115,-0.10490759425747467,3.4514751565634815e-05,3.413,89.22800000000001,-7.324799999999999,,,,1289.1891891891894
-0.046707,-0.1494559686504498,-0.06212516439321975,-0.10579056652183477,3.4932321702892024e-05,3.397,89.67500000000001,-7.346399999999999,,,,1297.2972972972975
-0.046946,-0.1503959167533832,-0.06264515589364916,-0.10652053632351619,3.510030434389362e-05,3.422,90.209,-7.490400000000005,,,,1305.4054054054054
-0.048758,-0.1521208470653878,-0.06311417878049073,-0.10761751292293928,3.560266731395883e-05,3.425,90.70500000000001,-7.696800000000001,,,,1313.5135135135135
-0.049522,-0.1529008144978918,-0.06347718460709555,-0.10818899955249367,3.57694519563185e-05,3.4519,91.251,-7.874399999999997,,,,1321.6216216216217
-0.051093,-0.15442575237394982,-0.06363471221628479,-0.1090302322951173,3.631641606306601e-05,3.4509,91.736,-8.063999999999998,,,,1329.7297297297298
-0.051136,-0.1555256850619192,-0.063850707588059,-0.10968819632498909,3.666999098954408e-05,3.4729,92.285,-8.0856,,,,1337.837837837838
-0.051898,-0.15704560573998083,-0.064161715328032,-0.11060366053400641,3.7153556164779536e-05,3.4459,92.729,-8.032799999999986,,,,1345.945945945946
-0.05347,-0.158350556546975,-0.06452823902271754,-0.11143939778484627,3.7528927009702986e-05,3.4649,93.27199999999999,-7.943999999999988,,,,1354.0540540540542
-0.053428,-0.1597554662587168,-0.06509772336031601,-0.11242659480951642,3.786309715936032e-05,3.4339,93.737,-7.802399999999994,,,,1362.1621621621623
-0.054957,-0.1608554288664498,-0.065562744352976,-0.1132090866097129,3.8117073805389515e-05,3.4459,94.268,-7.742399999999997,,,,1370.2702702702704
