time_s,max_opening_m
2.4800,8.46839697e-04
2.4850,8.47597113e-04
2.4900,8.48555964e-04
2.4950,8.49668417e-04
2.5000,8.50810438e-04
2.5050,8.51907705e-04
2.5100,8.52840512e-04
2.5150,8.53569588e-04
2.5200,8.54042732e-04
2.5250,8.54254045e-04
2.5300,8.54237759e-04
2.5350,8.54040617e-04
2.5400,8.53757979e-04
2.5450,8.53421265e-04
2.5500,8.53040681e-04
2.5550,8.52581443e-04
2.5600,8.51963153e-04
2.5650,8.51156353e-04
2.5700,8.50167861e-04
2.5750,8.49065976e-04
2.5800,8.48049453e-04
2.5850,8.47233565e-04
2.5900,8.46766262e-04
2.5950,8.46632474e-04
2.6000,8.46697597e-04
2.6050,8.46850629e-04
2.6100,8.46937942e-04
2.6150,8.46957154e-04
2.6200,8.46982260e-04
2.6250,8.47093625e-04
2.6300,8.47408839e-04
2.6350,8.47926555e-04
2.6400,8.48546657e-04
2.6450,8.49159512e-04
2.6500,8.49578621e-04
2.6550,8.49773837e-04
2.6600,8.49791926e-04
2.6650,8.49719840e-04
2.6700,8.49702558e-04
2.6750,8.49767487e-04
2.6800,8.49880543e-04
2.6850,8.49967792e-04
2.6900,8.49886935e-04
2.6950,8.49600423e-04
2.7000,8.49127701e-04
2.7050,8.48553380e-04
2.7100,8.48061190e-04
2.7150,8.47720999e-04
2.7200,8.47560099e-04
2.7250,8.47511570e-04
2.7300,8.47430141e-04
2.7350,8.47271448e-04
2.7400,8.47055680e-04
2.7450,8.46875670e-04
2.7500,8.46931052e-04
2.7550,8.47302468e-04
2.7600,8.47995484e-04
2.7650,8.48889751e-04
2.7700,8.49677182e-04
2.7750,8.50200668e-04
2.7800,8.50297470e-04
2.7850,8.50013561e-04
2.7900,8.49541144e-04
2.7950,8.49023787e-04
2.8000,8.48671149e-04
2.8050,8.48524819e-04
2.8100,8.48571664e-04
2.8150,8.48744986e-04
2.8200,8.48887324e-04
2.8250,8.48921397e-04
2.8300,8.48753821e-04
2.8350,8.48397051e-04
2.8400,8.47934694e-04
2.8450,8.47454199e-04
2.8500,8.47133369e-04
2.8550,8.47051738e-04
2.8600,8.47284019e-04
2.8650,8.47797609e-04
2.8700,8.48463991e-04
2.8750,8.49190911e-04
2.8800,8.49836747e-04
2.8850,8.50367143e-04
2.8900,8.50758158e-04
2.8950,8.51015963e-04
2.9000,8.51163344e-04
2.9050,8.51209059e-04
2.9100,8.51184468e-04
2.9150,8.51097666e-04
2.9200,8.50944758e-04
2.9250,8.50694105e-04
2.9300,8.50270506e-04
2.9350,8.49642550e-04
2.9400,8.48804146e-04
2.9450,8.47814302e-04
2.9500,8.46860450e-04
2.9550,8.46079321e-04
2.9600,8.45672567e-04
2.9650,8.45658302e-04
2.9700,8.45941405e-04
2.9750,8.46395630e-04
2.9800,8.46795638e-04
2.9850,8.47082545e-04
2.9900,8.47261101e-04
2.9950,8.47409868e-04
3.0000,8.47686305e-04
3.0050,8.48142943e-04
3.0100,8.48789842e-04
3.0150,8.49554521e-04
3.0200,8.50251604e-04
3.0250,8.50782530e-04
3.0300,8.51026988e-04
3.0350,8.50990462e-04
3.0400,8.50744759e-04
3.0450,8.50357115e-04
3.0500,8.49951454e-04
3.0550,8.49574449e-04
3.0600,8.49275031e-04
3.0650,8.49041452e-04
3.0700,8.48828633e-04
3.0750,8.48609508e-04
3.0800,8.48364349e-04
3.0850,8.48105448e-04
3.0900,8.47858950e-04
3.0950,8.47635409e-04
3.1000,8.47456568e-04
3.1050,8.47343719e-04
3.1100,8.47350438e-04
3.1150,8.47502271e-04
3.1200,8.47814545e-04
3.1250,8.48256069e-04
3.1300,8.48720084e-04
3.1350,8.49121023e-04
3.1400,8.49297386e-04
3.1450,8.49196823e-04
3.1500,8.48812884e-04
3.1550,8.48227470e-04
3.1600,8.47652798e-04
3.1650,8.47207105e-04
3.1700,8.47055953e-04
3.1750,8.47209270e-04
3.1800,8.47603897e-04
3.1850,8.48146737e-04
3.1900,8.48620505e-04
3.1950,8.48918050e-04
3.2000,8.48912249e-04
3.2050,8.48628233e-04
3.2100,8.48215718e-04
3.2150,8.47803548e-04
3.2200,8.47623390e-04
3.2250,8.47737774e-04
3.2300,8.48153278e-04
3.2350,8.48774488e-04
3.2400,8.49338855e-04
3.2450,8.49693309e-04
3.2500,8.49633094e-04
3.2550,8.49162096e-04
3.2600,8.48427208e-04
3.2650,8.47586921e-04
3.2700,8.46945430e-04
3.2750,8.46615408e-04
3.2800,8.46712309e-04
3.2850,8.47193217e-04
3.2900,8.47872807e-04
3.2950,8.48613081e-04
3.3000,8.49185046e-04
3.3050,8.49546361e-04
3.3100,8.49722567e-04
3.3150,8.49793054e-04
3.3200,8.49905108e-04
3.3250,8.50104897e-04
3.3300,8.50409051e-04
3.3350,8.50773732e-04
3.3400,8.51074663e-04
3.3450,8.51238594e-04
3.3500,8.51164564e-04
3.3550,8.50854738e-04
3.3600,8.50360417e-04
3.3650,8.49746151e-04
3.3700,8.49147616e-04
3.3750,8.48638821e-04
3.3800,8.48349545e-04
3.3850,8.48302572e-04
3.3900,8.48424373e-04
3.3950,8.48593886e-04
3.4000,8.48562954e-04
3.4050,8.48252492e-04
3.4100,8.47667209e-04
3.4150,8.46928353e-04
3.4200,8.46336411e-04
3.4250,8.46041219e-04
3.4300,8.46195034e-04
3.4350,8.46749087e-04
3.4400,8.47472897e-04
3.4450,8.48186401e-04
3.4500,8.48605291e-04
3.4550,8.48679150e-04
3.4600,8.48430900e-04
3.4650,8.47954572e-04
3.4700,8.47449388e-04
3.4750,8.47020795e-04
3.4800,8.46858559e-04
3.4850,8.47023485e-04
3.4900,8.47568582e-04
3.4950,8.48453191e-04
3.5000,8.49496979e-04
3.5050,8.50555304e-04
3.5100,8.51374226e-04
3.5150,8.51871060e-04
3.5200,8.51979843e-04
3.5250,8.51757921e-04
3.5300,8.51391138e-04
3.5350,8.51009507e-04
3.5400,8.50812976e-04
3.5450,8.50832390e-04
3.5500,8.51020984e-04
3.5550,8.51276846e-04
3.5600,8.51351177e-04
3.5650,8.51118353e-04
3.5700,8.50408338e-04
3.5750,8.49244614e-04
3.5800,8.47839907e-04
3.5850,8.46406645e-04
3.5900,8.45350544e-04
3.5950,8.44805856e-04
3.6000,8.44866441e-04
3.6050,8.45447376e-04
3.6100,8.46283721e-04
3.6150,8.47202621e-04
3.6200,8.47919247e-04
3.6250,8.48367693e-04
3.6300,8.48533418e-04
3.6350,8.48494781e-04
3.6400,8.48436254e-04
3.6450,8.48444033e-04
3.6500,8.48627249e-04
3.6550,8.48976742e-04
3.6600,8.49389807e-04
3.6650,8.49751937e-04
3.6700,8.49844929e-04
3.6750,8.49608528e-04
3.6800,8.49081666e-04
3.6850,8.48391615e-04
3.6900,8.47816209e-04
3.6950,8.47464883e-04
3.7000,8.47417972e-04
3.7050,8.47608818e-04
3.7100,8.47875333e-04
3.7150,8.48133283e-04
3.7200,8.48291126e-04
3.7250,8.48371720e-04
3.7300,8.48460930e-04
3.7350,8.48617261e-04
3.7400,8.48877434e-04
3.7450,8.49202581e-04
3.7500,8.49486049e-04
3.7550,8.49675612e-04
3.7600,8.49715857e-04
3.7650,8.49608401e-04
3.7700,8.49348696e-04
3.7750,8.48940473e-04
3.7800,8.48418710e-04
3.7850,8.47826331e-04
3.7900,8.47269881e-04
3.7950,8.46806376e-04
3.8000,8.46515294e-04
3.8050,8.46399833e-04
3.8100,8.46436525e-04
3.8150,8.46578247e-04
3.8200,8.46747712e-04
3.8250,8.46933596e-04
3.8300,8.47165363e-04
3.8350,8.47475401e-04
3.8400,8.47905532e-04
3.8450,8.48446986e-04
3.8500,8.49040576e-04
3.8550,8.49632160e-04
3.8600,8.50112788e-04
3.8650,8.50430329e-04
3.8700,8.50497905e-04
3.8750,8.50307942e-04
3.8800,8.49912445e-04
3.8850,8.49391102e-04
3.8900,8.48903467e-04
3.8950,8.48507330e-04
3.9000,8.48233263e-04
3.9050,8.48044844e-04
3.9100,8.47846817e-04
3.9150,8.47593400e-04
3.9200,8.47248946e-04
3.9250,8.46846247e-04
3.9300,8.46496213e-04
3.9350,8.46255744e-04
3.9400,8.46156541e-04
3.9450,8.46156727e-04
3.9500,8.46165257e-04
3.9550,8.46158014e-04
3.9600,8.46147207e-04
3.9650,8.46169529e-04
3.9700,8.46263643e-04
3.9750,8.46417251e-04
3.9800,8.46561729e-04
3.9850,8.46652571e-04
3.9900,8.46625936e-04
3.9950,8.46483531e-04
4.0000,8.46267562e-04
4.0050,8.46030608e-04
4.0100,8.45877367e-04
4.0150,8.45851411e-04
4.0200,8.45999500e-04
4.0250,8.46315980e-04
4.0300,8.46784982e-04
4.0350,8.47387138e-04
4.0400,8.48043124e-04
4.0450,8.48683169e-04
4.0500,8.49156579e-04
4.0550,8.49400452e-04
4.0600,8.49346763e-04
4.0650,8.49019860e-04
4.0700,8.48518775e-04
4.0750,8.47930211e-04
4.0800,8.47408072e-04
4.0850,8.46992262e-04
4.0900,8.46673665e-04
4.0950,8.46385307e-04
4.1000,8.45979715e-04
4.1050,8.45408793e-04
4.1100,8.44680462e-04
4.1150,8.43883049e-04
4.1200,8.43229065e-04
4.1250,8.42832699e-04
4.1300,8.42842415e-04
4.1350,8.43252033e-04
4.1400,8.43944711e-04
4.1450,8.44801229e-04
4.1500,8.45606503e-04
4.1550,8.46294615e-04
4.1600,8.46821941e-04
4.1650,8.47222660e-04
4.1700,8.47574919e-04
4.1750,8.47909816e-04
4.1800,8.48258381e-04
4.1850,8.48601293e-04
4.1900,8.48852908e-04
4.1950,8.48941647e-04
4.2000,8.48768448e-04
4.2050,8.48335924e-04
4.2100,8.47728107e-04
4.2150,8.47033619e-04
4.2200,8.46412557e-04
4.2250,8.45918735e-04
4.2300,8.45605174e-04
4.2350,8.45448145e-04
4.2400,8.45375907e-04
4.2450,8.45352170e-04
4.2500,8.45359971e-04
4.2550,8.45429357e-04
4.2600,8.45632778e-04
4.2650,8.45999455e-04
4.2700,8.46532726e-04
4.2750,8.47192263e-04
4.2800,8.47900060e-04
4.2850,8.48614128e-04
4.2900,8.49263906e-04
4.2950,8.49823374e-04
4.3000,8.50255393e-04
4.3050,8.50569338e-04
4.3100,8.50816575e-04
4.3150,8.51035369e-04
4.3200,8.51287366e-04
4.3250,8.51585900e-04
4.3300,8.51941590e-04
4.3350,8.52330715e-04
4.3400,8.52688563e-04
4.3450,8.52964184e-04
4.3500,8.53070550e-04
4.3550,8.52988693e-04
4.3600,8.52696300e-04
4.3650,8.52194135e-04
4.3700,8.51481312e-04
4.3750,8.50574083e-04
4.3800,8.49550933e-04
4.3850,8.48480412e-04
4.3900,8.47478061e-04
4.3950,8.46577178e-04
4.4000,8.45801310e-04
4.4050,8.45141055e-04
4.4100,8.44599130e-04
4.4150,8.44197656e-04
4.4200,8.44014016e-04
